"","Moderate/Often","Never","Seldom","MeanDecreaseAccuracy","MeanDecreaseGini"
"STNDALC",24.5961986892512,28.42076730461,14.8523932025998,36.7991402467391,83.7632840644496
"YFLTMRJ2",3.91579153038319,30.3050605513271,2.80582056953088,31.0112470402191,54.4876920119116
"FRDMEVR2",11.3770968579343,25.2750207870388,-2.01304855996509,26.6817143364601,46.2762188984206
"YFLMJMO",8.28997402137934,24.9183194947593,-1.99969146179934,25.9329843123669,51.2774027928533
"FRDMJMON",12.0263820103042,20.5092244841682,3.60321070573111,23.2466594787875,47.4859469163725
"YOSTOLE2",14.1472590512749,19.7121271367343,0.800389109654526,22.5639042999113,28.8000258119462
"FRDADLY2",8.47946863949014,21.4977477430918,-9.21091988972269,21.2789591304065,25.9278377901571
"YFLADLY2",6.38460208129895,21.349060414084,-9.52234010068978,20.9984242763355,25.2557764428098
"PRMJEVR2",8.91198962488432,19.7204208617557,-4.06014552922469,20.3083432537874,37.1334701601245
"PRALDLY2",11.0818561681372,18.8050247998361,-3.24211953241523,19.6854089953348,27.2034946255102
"FRDPCIG2",-2.78916154165071,19.2444117178209,-4.82821318993707,17.5068990031928,19.1655660198358
"YFLPKCG2",-5.75844169726143,19.4081808916368,-6.67527063854996,16.8764818489229,15.8382888360084
"STNDSMJ",9.41436670674091,13.3246992665565,4.24138236154174,16.4006131612439,47.6309516108538
"STNDDNK",6.37639206030611,16.2713587668729,-3.92870140677793,16.152047636327,26.3849236011102
"YOSELL2",8.80329401245042,14.6522507951779,-2.4806250878448,15.7267553351799,13.31016841155
"PRMJMO",11.2749275484941,15.471593640378,-10.2627052130072,15.5131131034215,28.2212898049689
"EDUSCHGRD2_T",10.8765139653694,9.61234320673062,8.63656379323482,15.3073195848673,147.947699816462
"PRPKCIG2",0.822438433627092,13.4898620787089,-3.05614077160401,12.8141834847593,17.0475371382986
"INCOME",3.44717458346411,10.4335740559916,2.64590774579138,11.5900120129018,58.2358341317905
"POVERTY3",2.34150973243087,9.90344409720622,2.08396531554276,11.2480694080588,43.482634375052
"STNDSCIG",2.05038424884129,11.1109292595897,-0.562285142995308,11.1679844017486,21.8158071633346
"RLGIMPT",1.92483336157119,9.49413106376484,2.07682497887867,10.3792287623889,32.3709617107007
"COUTYP4",3.30694320258001,10.1599919328212,-1.71029218705685,9.89442516398681,56.1735086389675
"PDEN10",2.70638001380977,10.3489176287541,-2.22816759299567,9.75479935972683,43.3004648003127
"GOVTPROG",2.65623361138056,8.79398150602974,-0.236461544505299,9.14008855098899,25.921089867895
"PRPROUD2",0.772008918580319,9.31054968809402,0.23953493217732,8.65021951298321,26.0401759841292
"NEWRACE2",0.42954610135345,8.30366971791178,2.04745763939421,8.5644893794045,88.8268108092444
"PRGDJOB2",3.0830752369535,6.75779331484513,1.15114027430294,7.76869626644142,26.4892768962892
"IFATHER",3.3419045289952,6.83328363558232,0.0207655461971671,7.07216467384018,34.1450594112745
"YOFIGHT2",1.00085331077704,7.9916448275734,-1.08880703336011,6.99036148015421,26.5471731228799
"YOGRPFT2",3.05880922261409,4.49159799569076,3.27721707912155,6.11108804798292,21.556026905697
"RLGATTD",0.206942663733843,5.60112211936444,2.23847577441368,5.9379306495462,25.0730753181095
"YOATTAK2",2.01142138758077,4.41675624931607,1.48161171005807,5.15368562368331,15.6291439487994
"RLGDCSN",-1.53174927521354,3.49661903964223,3.42043441043836,4.1334719790626,31.4518963909571
"PARHLPHW",1.10931423488325,3.41657455180622,2.31899512195925,4.02918372561833,29.5239486318493
"TALKPROB",0.839704550151538,4.12159639080351,-1.54087501473451,3.62912458451872,15.0167606758359
"PREGPGM2",0.62001812504006,3.02724019146081,1.97708370362909,3.51799727765089,11.5623008718082
"PARLMTSN",-0.208924076272207,3.54746774304078,0.286719008419068,3.10397238781152,36.49921003874
"YOHGUN2",6.19807954605093,1.18270327442221,-0.433525649016753,3.10075772777061,20.267331954623
"EDUSKPCOM_T",1.17854927074187,3.67495653075021,-1.35792095915262,3.04644212983044,58.650235935192
"PARCHKHW",3.27453962861565,1.58489159558976,0.287819037574387,2.40411051071135,29.8919182600092
"RLGFRND",-1.61287357809723,1.84070391225491,2.39889869391067,2.18712723543034,25.606170253606
"PRTALK3",2.82229644278895,1.62087948209337,-0.394199561050332,2.15335560711677,35.388527593069
"HEALTH2",3.48149225423713,2.04633046339742,-1.57251201977129,2.10822203028519,73.7494163410775
"GRPCNSL2",-0.0269842838495314,2.22509018197513,-0.0897388417987281,1.96116988358821,5.9546456792832
"SCHFELT",3.50260313174481,1.33784843094358,-0.899446007008234,1.86751533770449,32.2308374557001
"IRSEX",1.54075365199257,1.29837111747104,0.567034377577561,1.81471273995495,35.3816572652709
"PRBSOLV2",1.01768269017425,0.994051737441107,1.4573371586373,1.63186040980283,25.8414858102388
"PRLMTTV2",1.81438665493227,-1.21330610719507,6.12914321317281,1.48956203144266,27.5682833791259
"EDUSCHLGO_T",0.902538097593724,1.72912343518102,-1.31115001942559,1.45268928158,13.1222863895008
"PRVDRGO2",-0.953090070311771,1.11263260911651,1.61076389729325,1.26437681836921,13.7466255589412
"DRPRVME3",2.23938055758751,0.561306721344081,0.224319960038238,1.16583620808527,32.1754975325544
"TCHGJOB",-0.0402641174430116,2.32329141551414,-2.23011791914259,1.15301879068223,32.9479423925566
"AVGGRADE",2.01337785200615,-0.620211192964368,2.62511965556919,1.12807331076766,12.9783972242475
"IMOTHER",-0.0237898661163345,0.767023081977963,1.00423461699893,1.0736929645899,20.4563752242651
"YTHACT2",-2.34849458354602,0.336642062256925,1.50785755469327,0.117104641220667,24.2981195856477
"PRCHORE2",-1.60599135235671,0.705735850775924,-0.35340074159046,0.049887487072177,22.2410788538113
"ARGUPAR",2.91268520428468,-2.01230396740365,1.93498961642017,-0.0700736640331447,30.077888648112
"ANYEDUC3",-0.578954585332567,-0.366613523084013,0.826738231401335,-0.198266096630309,31.3002288139538
"PREVIOL2",-1.22135027830098,-0.434439594635781,0.288143832548142,-0.640517856219352,11.2025428066416
